beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04145,	-0.16576,	589.19,	589.19
  2,	  5,	-0.04123,	-0.16491,	8.03,	597.22
  6,	 10,	-0.04121,	-0.16483,	103.92,	701.14
  8,	 10,	-0.04068,	-0.16269,	114.10,	815.24
 10,	 10,	-0.03912,	-0.15646,	215.22,	1030.45
 12,	 10,	-0.03731,	-0.14922,	302.71,	1333.16
 14,	 10,	-0.03542,	-0.14165,	349.84,	1683.00
 16,	 10,	-0.03346,	-0.13383,	418.45,	2101.44
 18,	 10,	-0.03169,	-0.12675,	502.93,	2604.37
 20,	 10,	-0.03016,	-0.12060,	520.42,	3124.79
 22,	 10,	-0.02882,	-0.11524,	561.56,	3686.35
 24,	 10,	-0.02776,	-0.11100,	596.01,	4282.36
 26,	 10,	-0.02691,	-0.10762,	611.80,	4894.16
 28,	 10,	-0.02623,	-0.10490,	665.94,	5560.10
 30,	 10,	-0.02572,	-0.10287,	693.43,	6253.53
 32,	 10,	-0.02526,	-0.10101,	736.35,	6989.88
 34,	 10,	-0.02503,	-0.10009,	768.50,	7758.38
 36,	 10,	-0.02468,	-0.09868,	801.90,	8560.28
 38,	 10,	-0.02446,	-0.09782,	853.89,	9414.17
 40,	 10,	-0.02412,	-0.09645,	926.22,	10340.39
 42,	 10,	-0.02405,	-0.09616,	655.76,	10996.16
 44,	 10,	-0.02381,	-0.09523,	1022.14,	12018.30
 46,	 10,	-0.02345,	-0.09376,	1449.52,	13467.82
 48,	 10,	-0.02321,	-0.09282,	2030.62,	15498.44
 50,	 10,	-0.02300,	-0.09196,	1889.51,	17387.95
 52,	 10,	-0.02269,	-0.09074,	2448.43,	19836.38
 54,	 10,	-0.02244,	-0.08974,	3248.16,	23084.55
 56,	 10,	-0.02214,	-0.08854,	4174.33,	27258.88
 58,	 10,	-0.02201,	-0.08803,	5379.46,	32638.34
 60,	 10,	-0.02174,	-0.08692,	6760.49,	39398.83
 62,	 10,	-0.02148,	-0.08590,	8289.51,	47688.34
 64,	 10,	-0.02122,	-0.08485,	10301.60,	57989.94
 66,	 10,	-0.02102,	-0.08407,	12522.75,	70512.69
 68,	 10,	-0.02077,	-0.08307,	15075.18,	85587.87
 70,	 10,	-0.02057,	-0.08225,	17695.79,	103283.66
 72,	 10,	-0.02041,	-0.08160,	21857.67,	125141.34
 74,	 10,	-0.02018,	-0.08070,	26253.46,	151394.80
 76,	 10,	-0.02000,	-0.07995,	31524.05,	182918.85
 78,	 10,	-0.01980,	-0.07918,	39522.54,	222441.39
 80,	 10,	-0.01959,	-0.07834,	46040.30,	268481.69
