beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04339,	-0.04339,	90.56,	90.56
  2,	  5,	-0.04339,	-0.04339,	0.00,	90.56
  5,	  5,	-0.04339,	-0.04339,	57.10,	147.66
  6,	  5,	-0.04338,	-0.04338,	58.15,	205.81
  7,	  5,	-0.04321,	-0.04321,	59.07,	264.89
  8,	  5,	-0.04268,	-0.04268,	53.70,	318.59
  9,	  5,	-0.04198,	-0.04198,	45.85,	364.43
 10,	  5,	-0.04124,	-0.04124,	39.05,	403.49
 11,	  5,	-0.04039,	-0.04039,	38.13,	441.62
 12,	  5,	-0.03949,	-0.03949,	37.00,	478.62
 13,	  5,	-0.03860,	-0.03860,	36.90,	515.52
 14,	  5,	-0.03766,	-0.03766,	37.85,	553.37
 15,	  5,	-0.03670,	-0.03670,	38.66,	592.03
 16,	  5,	-0.03581,	-0.03581,	41.59,	633.62
 17,	  5,	-0.03494,	-0.03494,	42.20,	675.82
 18,	  5,	-0.03410,	-0.03410,	44.05,	719.87
 19,	  5,	-0.03330,	-0.03330,	46.98,	766.85
 20,	  5,	-0.03256,	-0.03256,	47.37,	814.22
 21,	  5,	-0.03185,	-0.03185,	50.13,	864.35
 22,	  5,	-0.03122,	-0.03122,	52.97,	917.33
 23,	  5,	-0.03070,	-0.03070,	56.22,	973.54
 24,	  5,	-0.03023,	-0.03023,	59.38,	1032.93
 25,	  5,	-0.02978,	-0.02978,	61.95,	1094.88
 26,	  5,	-0.02946,	-0.02946,	67.75,	1162.63
 27,	  5,	-0.02908,	-0.02908,	71.41,	1234.04
 28,	  5,	-0.02879,	-0.02879,	76.63,	1310.67
 29,	  5,	-0.02857,	-0.02857,	84.13,	1394.80
 30,	  5,	-0.02830,	-0.02830,	90.99,	1485.78
 31,	  5,	-0.02808,	-0.02808,	84.43,	1570.21
 32,	  5,	-0.02792,	-0.02792,	88.98,	1659.19
 33,	  5,	-0.02778,	-0.02778,	94.05,	1753.24
 34,	  5,	-0.02759,	-0.02759,	99.57,	1852.81
 35,	  5,	-0.02748,	-0.02748,	105.52,	1958.32
 36,	  5,	-0.02734,	-0.02734,	113.12,	2071.44
 37,	  5,	-0.02710,	-0.02710,	119.87,	2191.31
 38,	  5,	-0.02700,	-0.02700,	131.86,	2323.17
 39,	  5,	-0.02685,	-0.02685,	139.53,	2462.70
 40,	  5,	-0.02663,	-0.02663,	148.95,	2611.65
 41,	  5,	-0.02635,	-0.02635,	291.04,	2902.69
 42,	  5,	-0.02619,	-0.02619,	323.26,	3225.95
 43,	  5,	-0.02598,	-0.02598,	479.16,	3705.11
 44,	  5,	-0.02581,	-0.02581,	543.25,	4248.36
 45,	  5,	-0.02561,	-0.02561,	746.24,	4994.61
 46,	  5,	-0.02542,	-0.02542,	845.29,	5839.90
 47,	  5,	-0.02526,	-0.02526,	1123.53,	6963.42
 48,	  5,	-0.02515,	-0.02515,	1272.45,	8235.87
 49,	  5,	-0.02504,	-0.02504,	1553.08,	9788.95
 50,	  5,	-0.02486,	-0.02486,	1754.54,	11543.49
 51,	  5,	-0.02472,	-0.02472,	2176.38,	13719.87
 52,	  5,	-0.02456,	-0.02456,	2418.78,	16138.65
 53,	  5,	-0.02436,	-0.02436,	2935.68,	19074.33
 54,	  5,	-0.02426,	-0.02426,	3248.76,	22323.09
 55,	  5,	-0.02414,	-0.02414,	3926.12,	26249.21
 56,	  5,	-0.02395,	-0.02395,	4267.61,	30516.83
 57,	  5,	-0.02382,	-0.02382,	4984.54,	35501.36
 58,	  5,	-0.02366,	-0.02366,	5581.24,	41082.60
 59,	  5,	-0.02348,	-0.02348,	6429.33,	47511.93
 60,	  5,	-0.02340,	-0.02340,	7048.66,	54560.59
 61,	  5,	-0.02325,	-0.02325,	8065.39,	62625.98
 62,	  5,	-0.02311,	-0.02311,	8526.48,	71152.46
 63,	  5,	-0.02295,	-0.02295,	9524.80,	80677.25
 64,	  5,	-0.02286,	-0.02286,	10326.77,	91004.03
 65,	  5,	-0.02273,	-0.02273,	11675.22,	102679.25
 66,	  5,	-0.02261,	-0.02261,	12198.68,	114877.93
 67,	  5,	-0.02247,	-0.02247,	13778.47,	128656.40
 68,	  5,	-0.02235,	-0.02235,	14501.13,	143157.52
 69,	  5,	-0.02224,	-0.02224,	16235.30,	159392.82
 70,	  5,	-0.02210,	-0.02210,	17129.33,	176522.15
 71,	  5,	-0.02200,	-0.02200,	19202.02,	195724.18
 72,	  5,	-0.02186,	-0.02186,	21273.30,	216997.48
 73,	  5,	-0.02174,	-0.02174,	23804.25,	240801.73
 74,	  5,	-0.02165,	-0.02165,	26758.89,	267560.62
