beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04340,	-0.04340,	83.20,	83.20
  2,	  5,	-0.04340,	-0.04340,	0.00,	83.20
  5,	  5,	-0.04340,	-0.04340,	56.65,	139.85
  6,	  5,	-0.04340,	-0.04340,	57.14,	196.99
  7,	  5,	-0.04324,	-0.04324,	59.02,	256.01
  8,	  5,	-0.04273,	-0.04273,	52.28,	308.29
  9,	  5,	-0.04199,	-0.04199,	44.02,	352.31
 10,	  5,	-0.04119,	-0.04119,	37.01,	389.31
 11,	  5,	-0.04037,	-0.04037,	34.59,	423.90
 12,	  5,	-0.03947,	-0.03947,	33.50,	457.40
 13,	  5,	-0.03859,	-0.03859,	33.10,	490.49
 14,	  5,	-0.03765,	-0.03765,	33.10,	523.59
 15,	  5,	-0.03675,	-0.03675,	34.12,	557.71
 16,	  5,	-0.03586,	-0.03586,	35.74,	593.45
 17,	  5,	-0.03496,	-0.03496,	37.31,	630.76
 18,	  5,	-0.03406,	-0.03406,	38.40,	669.16
 19,	  5,	-0.03326,	-0.03326,	40.67,	709.83
 20,	  5,	-0.03252,	-0.03252,	43.40,	753.23
 21,	  5,	-0.03185,	-0.03185,	44.32,	797.56
 22,	  5,	-0.03122,	-0.03122,	45.74,	843.30
 23,	  5,	-0.03068,	-0.03068,	49.00,	892.30
 24,	  5,	-0.03024,	-0.03024,	51.82,	944.12
 25,	  5,	-0.02981,	-0.02981,	54.88,	999.00
 26,	  5,	-0.02942,	-0.02942,	59.28,	1058.28
 27,	  5,	-0.02910,	-0.02910,	62.79,	1121.07
 28,	  5,	-0.02883,	-0.02883,	67.64,	1188.70
 29,	  5,	-0.02859,	-0.02859,	75.45,	1264.15
 30,	  5,	-0.02834,	-0.02834,	81.58,	1345.73
 31,	  5,	-0.02816,	-0.02816,	76.03,	1421.76
 32,	  5,	-0.02799,	-0.02799,	80.24,	1501.99
 33,	  5,	-0.02778,	-0.02778,	84.12,	1586.11
 34,	  5,	-0.02757,	-0.02757,	87.89,	1674.00
 35,	  5,	-0.02744,	-0.02744,	94.68,	1768.68
 36,	  5,	-0.02724,	-0.02724,	99.65,	1868.34
 37,	  5,	-0.02703,	-0.02703,	107.51,	1975.84
 38,	  5,	-0.02691,	-0.02691,	116.94,	2092.78
 39,	  5,	-0.02672,	-0.02672,	126.25,	2219.03
 40,	  5,	-0.02658,	-0.02658,	135.09,	2354.12
 41,	  5,	-0.02641,	-0.02641,	265.28,	2619.40
 42,	  5,	-0.02623,	-0.02623,	294.74,	2914.15
 43,	  5,	-0.02605,	-0.02605,	443.58,	3357.73
 44,	  5,	-0.02585,	-0.02585,	494.09,	3851.81
 45,	  5,	-0.02567,	-0.02567,	690.17,	4541.99
 46,	  5,	-0.02549,	-0.02549,	764.71,	5306.69
 47,	  5,	-0.02534,	-0.02534,	1007.68,	6314.37
 48,	  5,	-0.02514,	-0.02514,	1116.13,	7430.50
 49,	  5,	-0.02503,	-0.02503,	1438.27,	8868.77
 50,	  5,	-0.02486,	-0.02486,	1573.61,	10442.38
 51,	  5,	-0.02474,	-0.02474,	1926.31,	12368.70
 52,	  5,	-0.02460,	-0.02460,	2208.12,	14576.82
 53,	  5,	-0.02443,	-0.02443,	2682.15,	17258.97
 54,	  5,	-0.02426,	-0.02426,	2926.06,	20185.03
 55,	  5,	-0.02411,	-0.02411,	3453.70,	23638.74
 56,	  5,	-0.02398,	-0.02398,	3865.00,	27503.74
 57,	  5,	-0.02382,	-0.02382,	4465.53,	31969.27
 58,	  5,	-0.02369,	-0.02369,	4751.61,	36720.88
 59,	  5,	-0.02354,	-0.02354,	5578.93,	42299.82
 60,	  5,	-0.02342,	-0.02342,	6024.68,	48324.49
 61,	  5,	-0.02326,	-0.02326,	6945.12,	55269.62
 62,	  5,	-0.02309,	-0.02309,	7658.02,	62927.63
 63,	  5,	-0.02301,	-0.02301,	8584.23,	71511.87
 64,	  5,	-0.02285,	-0.02285,	9109.69,	80621.56
 65,	  5,	-0.02269,	-0.02269,	10443.25,	91064.81
 66,	  5,	-0.02259,	-0.02259,	11069.13,	102133.94
 67,	  5,	-0.02243,	-0.02243,	12542.26,	114676.19
 68,	  5,	-0.02236,	-0.02236,	13102.15,	127778.35
 69,	  5,	-0.02223,	-0.02223,	15061.84,	142840.18
 70,	  5,	-0.02210,	-0.02210,	15412.36,	158252.54
 71,	  5,	-0.02199,	-0.02199,	17570.26,	175822.80
 72,	  5,	-0.02189,	-0.02189,	19580.50,	195403.29
 73,	  5,	-0.02173,	-0.02173,	21647.24,	217050.54
 74,	  5,	-0.02164,	-0.02164,	24500.02,	241550.56
 75,	  5,	-0.02151,	-0.02151,	26879.13,	268429.68
