beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04284,	-0.04284,	108.01,	108.01
  2,	  5,	-0.04284,	-0.04284,	0.00,	108.01
  5,	  5,	-0.04284,	-0.04284,	57.32,	165.33
  6,	  5,	-0.04284,	-0.04284,	58.02,	223.35
  7,	  5,	-0.04251,	-0.04251,	59.91,	283.26
  8,	  5,	-0.04200,	-0.04200,	56.76,	340.01
  9,	  5,	-0.04129,	-0.04129,	47.45,	387.46
 10,	  5,	-0.04050,	-0.04050,	43.74,	431.21
 11,	  5,	-0.03970,	-0.03970,	40.68,	471.89
 12,	  5,	-0.03892,	-0.03892,	38.89,	510.78
 13,	  5,	-0.03803,	-0.03803,	40.57,	551.35
 14,	  5,	-0.03720,	-0.03720,	40.86,	592.21
 15,	  5,	-0.03634,	-0.03634,	41.99,	634.20
 16,	  5,	-0.03543,	-0.03543,	44.95,	679.15
 17,	  5,	-0.03455,	-0.03455,	45.52,	724.67
 18,	  5,	-0.03376,	-0.03376,	48.77,	773.44
 19,	  5,	-0.03304,	-0.03304,	50.50,	823.94
 20,	  5,	-0.03234,	-0.03234,	53.99,	877.94
 21,	  5,	-0.03168,	-0.03168,	55.44,	933.38
 22,	  5,	-0.03112,	-0.03112,	59.48,	992.87
 23,	  5,	-0.03060,	-0.03060,	61.66,	1054.52
 24,	  5,	-0.03010,	-0.03010,	66.01,	1120.53
 25,	  5,	-0.02969,	-0.02969,	68.43,	1188.96
 26,	  5,	-0.02935,	-0.02935,	73.12,	1262.08
 27,	  5,	-0.02906,	-0.02906,	79.30,	1341.38
 28,	  5,	-0.02871,	-0.02871,	84.68,	1426.06
 29,	  5,	-0.02844,	-0.02844,	92.08,	1518.13
 30,	  5,	-0.02822,	-0.02822,	100.09,	1618.22
 31,	  5,	-0.02797,	-0.02797,	93.01,	1711.23
 32,	  5,	-0.02781,	-0.02781,	99.64,	1810.88
 33,	  5,	-0.02765,	-0.02765,	103.89,	1914.77
 34,	  5,	-0.02747,	-0.02747,	107.40,	2022.17
 35,	  5,	-0.02732,	-0.02732,	116.24,	2138.41
 36,	  5,	-0.02721,	-0.02721,	123.08,	2261.48
 37,	  5,	-0.02707,	-0.02707,	133.56,	2395.04
 38,	  5,	-0.02691,	-0.02691,	143.12,	2538.16
 39,	  5,	-0.02680,	-0.02680,	152.40,	2690.56
 40,	  5,	-0.02663,	-0.02663,	163.65,	2854.21
 41,	  5,	-0.02637,	-0.02637,	323.13,	3177.35
 42,	  5,	-0.02615,	-0.02615,	354.50,	3531.85
 43,	  5,	-0.02598,	-0.02598,	539.58,	4071.43
 44,	  5,	-0.02582,	-0.02582,	595.99,	4667.41
 45,	  5,	-0.02567,	-0.02567,	837.40,	5504.81
 46,	  5,	-0.02549,	-0.02549,	947.32,	6452.13
 47,	  5,	-0.02535,	-0.02535,	1216.58,	7668.71
 48,	  5,	-0.02518,	-0.02518,	1378.41,	9047.12
 49,	  5,	-0.02504,	-0.02504,	1746.31,	10793.44
 50,	  5,	-0.02490,	-0.02490,	1999.64,	12793.08
 51,	  5,	-0.02473,	-0.02473,	2384.06,	15177.14
 52,	  5,	-0.02458,	-0.02458,	2698.30,	17875.43
 53,	  5,	-0.02442,	-0.02442,	3236.31,	21111.75
 54,	  5,	-0.02426,	-0.02426,	3613.73,	24725.48
 55,	  5,	-0.02411,	-0.02411,	4312.45,	29037.92
 56,	  5,	-0.02395,	-0.02395,	4711.72,	33749.64
 57,	  5,	-0.02380,	-0.02380,	5537.66,	39287.31
 58,	  5,	-0.02368,	-0.02368,	5897.48,	45184.79
 59,	  5,	-0.02354,	-0.02354,	6921.81,	52106.59
 60,	  5,	-0.02339,	-0.02339,	7661.23,	59767.82
 61,	  5,	-0.02324,	-0.02324,	8746.75,	68514.57
 62,	  5,	-0.02312,	-0.02312,	9447.50,	77962.07
 63,	  5,	-0.02296,	-0.02296,	10927.69,	88889.75
 64,	  5,	-0.02286,	-0.02286,	11561.88,	100451.64
 65,	  5,	-0.02268,	-0.02268,	12988.60,	113440.24
 66,	  5,	-0.02258,	-0.02258,	13904.86,	127345.10
 67,	  5,	-0.02250,	-0.02250,	15763.82,	143108.92
 68,	  5,	-0.02235,	-0.02235,	16492.19,	159601.10
 69,	  5,	-0.02222,	-0.02222,	18334.11,	177935.22
 70,	  5,	-0.02210,	-0.02210,	19487.38,	197422.59
 71,	  5,	-0.02200,	-0.02200,	21751.30,	219173.89
 72,	  5,	-0.02187,	-0.02187,	24193.73,	243367.62
 73,	  5,	-0.02173,	-0.02173,	26497.12,	269864.74
