beta, betaK, slope_Q, pred_Q_low, pred_Q_high
 10,   5, -0.038474, 0.006108, 0.003177
 12,   6, -0.037594, -0.007544, -0.008666
 14,   7, -0.036590, -0.015269, -0.015728
 16,   8, -0.035484, -0.019947, -0.020141
 18,   9, -0.034384, -0.022890, -0.022975
 20,  10, -0.033262, -0.024775, -0.024812
 22,  11, -0.032252, -0.025980, -0.025997
 24,  12, -0.031376, -0.026733, -0.026741
 26,  13, -0.030656, -0.027175, -0.027179
 28,  14, -0.030016, -0.027400, -0.027401
 30,  15, -0.029442, -0.027469, -0.027470
 32,  16, -0.028966, -0.027427, -0.027428
 34,  17, -0.028580, -0.027305, -0.027305
 36,  18, -0.028164, -0.027123, -0.027123
 38,  19, -0.027796, -0.026899, -0.026899
 40,  20, -0.027398, -0.026645, -0.026645
 42,  21, -0.027060, -0.026369, -0.026369
 44,  22, -0.026646, -0.026078, -0.026078
 46,  23, -0.026304, -0.025778, -0.025778
 48,  24, -0.025912, -0.025471, -0.025471
 50,  25, -0.025572, -0.025162, -0.025162
 52,  26, -0.025204, -0.024852, -0.024852
 54,  27, -0.024868, -0.024543, -0.024543
 56,  28, -0.024560, -0.024237, -0.024237
 58,  29, -0.024238, -0.023934, -0.023934
 60,  30, -0.023950, -0.023635, -0.023635
 62,  31, -0.023650, -0.023341, -0.023341
 64,  32, -0.023378, -0.023052, -0.023052
 66,  33, -0.023088, -0.022769, -0.022769
 68,  34, -0.022814, -0.022491, -0.022491
 70,  35, -0.022526, -0.022218, -0.022218
 72,  36, -0.022274, -0.021952, -0.021952
 74,  37, -0.022026, -0.021691, -0.021691
 76,  38, -0.021786, -0.021436, -0.021436
 78,  39, -0.021572, -0.021186, -0.021186
 80,  40, -0.021334, -0.020942, -0.020942
