beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04356,	-0.04356,	103.03,	103.03
  2,	  5,	-0.04356,	-0.04356,	0.00,	103.03
  5,	  5,	-0.04356,	-0.04356,	57.38,	160.41
  6,	  5,	-0.04356,	-0.04356,	58.46,	218.87
  7,	  5,	-0.04327,	-0.04327,	60.53,	279.40
  8,	  5,	-0.04275,	-0.04275,	55.91,	335.31
  9,	  5,	-0.04198,	-0.04198,	47.62,	382.93
 10,	  5,	-0.04119,	-0.04119,	42.77,	425.70
 11,	  5,	-0.04031,	-0.04031,	39.77,	465.47
 12,	  5,	-0.03945,	-0.03945,	40.27,	505.75
 13,	  5,	-0.03851,	-0.03851,	41.05,	546.80
 14,	  5,	-0.03759,	-0.03759,	41.77,	588.56
 15,	  5,	-0.03667,	-0.03667,	44.09,	632.65
 16,	  5,	-0.03573,	-0.03573,	45.58,	678.23
 17,	  5,	-0.03485,	-0.03485,	47.49,	725.72
 18,	  5,	-0.03404,	-0.03404,	50.48,	776.20
 19,	  5,	-0.03325,	-0.03325,	51.81,	828.02
 20,	  5,	-0.03250,	-0.03250,	55.08,	883.10
 21,	  5,	-0.03186,	-0.03186,	58.18,	941.28
 22,	  5,	-0.03125,	-0.03125,	59.69,	1000.96
 23,	  5,	-0.03069,	-0.03069,	62.58,	1063.55
 24,	  5,	-0.03018,	-0.03018,	66.76,	1130.31
 25,	  5,	-0.02978,	-0.02978,	70.21,	1200.52
 26,	  5,	-0.02937,	-0.02937,	74.93,	1275.45
 27,	  5,	-0.02901,	-0.02901,	79.56,	1355.01
 28,	  5,	-0.02872,	-0.02872,	86.93,	1441.94
 29,	  5,	-0.02847,	-0.02847,	93.58,	1535.53
 30,	  5,	-0.02823,	-0.02823,	101.38,	1636.90
 31,	  5,	-0.02801,	-0.02801,	94.54,	1731.44
 32,	  5,	-0.02782,	-0.02782,	98.96,	1830.40
 33,	  5,	-0.02771,	-0.02771,	105.86,	1936.26
 34,	  5,	-0.02755,	-0.02755,	110.22,	2046.48
 35,	  5,	-0.02744,	-0.02744,	117.29,	2163.77
 36,	  5,	-0.02733,	-0.02733,	126.20,	2289.97
 37,	  5,	-0.02714,	-0.02714,	136.00,	2425.98
 38,	  5,	-0.02704,	-0.02704,	145.76,	2571.74
 39,	  5,	-0.02685,	-0.02685,	156.63,	2728.37
 40,	  5,	-0.02674,	-0.02674,	165.45,	2893.83
 41,	  5,	-0.02642,	-0.02642,	320.98,	3214.81
 42,	  5,	-0.02622,	-0.02622,	356.36,	3571.17
 43,	  5,	-0.02595,	-0.02595,	533.58,	4104.76
 44,	  5,	-0.02580,	-0.02580,	604.68,	4709.44
 45,	  5,	-0.02563,	-0.02563,	836.00,	5545.44
 46,	  5,	-0.02547,	-0.02547,	950.38,	6495.82
 47,	  5,	-0.02536,	-0.02536,	1197.73,	7693.55
 48,	  5,	-0.02519,	-0.02519,	1375.13,	9068.68
 49,	  5,	-0.02502,	-0.02502,	1742.89,	10811.57
 50,	  5,	-0.02491,	-0.02491,	1924.81,	12736.38
 51,	  5,	-0.02477,	-0.02477,	2416.33,	15152.71
 52,	  5,	-0.02457,	-0.02457,	2684.47,	17837.18
 53,	  5,	-0.02439,	-0.02439,	3287.74,	21124.92
 54,	  5,	-0.02422,	-0.02422,	3625.62,	24750.54
 55,	  5,	-0.02411,	-0.02411,	4334.79,	29085.33
 56,	  5,	-0.02398,	-0.02398,	4794.63,	33879.96
 57,	  5,	-0.02387,	-0.02387,	5493.02,	39372.99
 58,	  5,	-0.02367,	-0.02367,	6172.21,	45545.20
 59,	  5,	-0.02355,	-0.02355,	7137.84,	52683.04
 60,	  5,	-0.02336,	-0.02336,	7550.24,	60233.29
 61,	  5,	-0.02324,	-0.02324,	8846.57,	69079.86
 62,	  5,	-0.02312,	-0.02312,	9455.04,	78534.90
 63,	  5,	-0.02299,	-0.02299,	10817.43,	89352.33
 64,	  5,	-0.02282,	-0.02282,	11600.94,	100953.27
 65,	  5,	-0.02271,	-0.02271,	13250.22,	114203.49
 66,	  5,	-0.02255,	-0.02255,	13822.90,	128026.38
 67,	  5,	-0.02244,	-0.02244,	15323.16,	143349.54
 68,	  5,	-0.02234,	-0.02234,	16524.61,	159874.15
 69,	  5,	-0.02222,	-0.02222,	18721.62,	178595.78
 70,	  5,	-0.02209,	-0.02209,	19494.09,	198089.86
 71,	  5,	-0.02198,	-0.02198,	21806.16,	219896.02
 72,	  5,	-0.02185,	-0.02185,	24106.85,	244002.87
 73,	  5,	-0.02173,	-0.02173,	26892.31,	270895.18
