beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04314,	-0.04314,	170.61,	170.61
  2,	  5,	-0.04314,	-0.04314,	0.01,	170.62
  5,	  5,	-0.04314,	-0.04314,	99.83,	270.45
  6,	  5,	-0.04298,	-0.04298,	102.23,	372.68
  7,	  5,	-0.04263,	-0.04263,	101.43,	474.11
  8,	  5,	-0.04216,	-0.04216,	91.03,	565.14
  9,	  5,	-0.04147,	-0.04147,	77.18,	642.32
 10,	  5,	-0.04069,	-0.04069,	69.03,	711.35
 11,	  5,	-0.03992,	-0.03992,	60.35,	771.70
 12,	  5,	-0.03906,	-0.03906,	59.83,	831.52
 13,	  5,	-0.03822,	-0.03822,	59.28,	890.80
 14,	  5,	-0.03734,	-0.03734,	61.06,	951.87
 15,	  5,	-0.03646,	-0.03646,	61.21,	1013.08
 16,	  5,	-0.03557,	-0.03557,	63.70,	1076.77
 17,	  5,	-0.03477,	-0.03477,	66.52,	1143.29
 18,	  5,	-0.03390,	-0.03390,	71.23,	1214.53
 19,	  5,	-0.03315,	-0.03315,	74.59,	1289.12
 20,	  5,	-0.03241,	-0.03241,	77.05,	1366.16
 21,	  5,	-0.03179,	-0.03179,	81.07,	1447.23
 22,	  5,	-0.03121,	-0.03121,	86.43,	1533.66
 23,	  5,	-0.03070,	-0.03070,	88.88,	1622.54
 24,	  5,	-0.03025,	-0.03025,	93.31,	1715.85
 25,	  5,	-0.02978,	-0.02978,	99.17,	1815.02
 26,	  5,	-0.02939,	-0.02939,	107.15,	1922.17
 27,	  5,	-0.02901,	-0.02901,	81.94,	2004.11
 28,	  5,	-0.02869,	-0.02869,	87.20,	2091.31
 29,	  5,	-0.02843,	-0.02843,	99.74,	2191.05
 30,	  5,	-0.02822,	-0.02822,	104.80,	2295.85
 31,	  5,	-0.02802,	-0.02802,	96.61,	2392.46
 32,	  5,	-0.02781,	-0.02781,	102.82,	2495.29
 33,	  5,	-0.02764,	-0.02764,	109.40,	2604.69
 34,	  5,	-0.02745,	-0.02745,	114.27,	2718.95
 35,	  5,	-0.02731,	-0.02731,	122.40,	2841.35
 36,	  5,	-0.02720,	-0.02720,	130.31,	2971.66
 37,	  5,	-0.02700,	-0.02700,	142.81,	3114.48
 38,	  5,	-0.02690,	-0.02690,	190.19,	3304.67
 39,	  5,	-0.02675,	-0.02675,	253.36,	3558.02
 40,	  5,	-0.02660,	-0.02660,	207.33,	3765.35
 41,	  5,	-0.02636,	-0.02636,	515.96,	4281.31
 42,	  5,	-0.02614,	-0.02614,	520.79,	4802.10
 43,	  5,	-0.02598,	-0.02598,	882.49,	5684.59
 44,	  5,	-0.02585,	-0.02585,	960.76,	6645.35
 45,	  5,	-0.02567,	-0.02567,	1326.84,	7972.19
 46,	  5,	-0.02549,	-0.02549,	1086.91,	9059.10
 47,	  5,	-0.02541,	-0.02541,	1245.40,	10304.50
 48,	  5,	-0.02516,	-0.02516,	1368.13,	11672.63
 49,	  5,	-0.02495,	-0.02495,	1722.10,	13394.73
 50,	  5,	-0.02486,	-0.02486,	1917.05,	15311.78
 51,	  5,	-0.02471,	-0.02471,	2339.77,	17651.55
 52,	  5,	-0.02453,	-0.02453,	2523.48,	20175.03
 53,	  5,	-0.02440,	-0.02440,	3157.80,	23332.83
 54,	  5,	-0.02422,	-0.02422,	3434.01,	26766.84
 55,	  5,	-0.02412,	-0.02412,	4002.67,	30769.51
 56,	  5,	-0.02399,	-0.02399,	4194.05,	34963.56
 57,	  5,	-0.02380,	-0.02380,	4839.24,	39802.80
 58,	  5,	-0.02364,	-0.02364,	5450.34,	45253.14
 59,	  5,	-0.02354,	-0.02354,	6285.37,	51538.51
 60,	  5,	-0.02339,	-0.02339,	6819.85,	58358.36
 61,	  5,	-0.02328,	-0.02328,	7952.06,	66310.42
 62,	  5,	-0.02311,	-0.02311,	8476.86,	74787.28
 63,	  5,	-0.02296,	-0.02296,	9743.86,	84531.14
 64,	  5,	-0.02286,	-0.02286,	10463.61,	94994.75
 65,	  5,	-0.02272,	-0.02272,	11935.12,	106929.87
 66,	  5,	-0.02261,	-0.02261,	12047.93,	118977.80
 67,	  5,	-0.02246,	-0.02246,	13307.09,	132284.88
 68,	  5,	-0.02233,	-0.02233,	13977.66,	146262.54
 69,	  5,	-0.02224,	-0.02224,	15370.71,	161633.25
 70,	  5,	-0.02213,	-0.02213,	15785.46,	177418.72
 71,	  5,	-0.02199,	-0.02199,	17220.74,	194639.46
 72,	  5,	-0.02185,	-0.02185,	18998.55,	213638.00
 73,	  5,	-0.02172,	-0.02172,	21343.93,	234981.94
 74,	  5,	-0.02161,	-0.02161,	23936.93,	258918.86
 75,	  5,	-0.02149,	-0.02149,	25069.95,	283988.81
 76,	  5,	-0.02140,	-0.02140,	27518.18,	311506.99
 77,	  5,	-0.02129,	-0.02129,	31479.98,	342986.97
 78,	  5,	-0.02117,	-0.02117,	36482.50,	379469.47
 79,	  5,	-0.02102,	-0.02102,	39986.03,	419455.50
 80,	  5,	-0.02093,	-0.02093,	39043.42,	458498.92
