beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04300,	-2.75487,	1250.88,	1250.88
  2,	  5,	-0.04136,	-2.64933,	3106.28,	4357.16
  8,	 40,	-0.04136,	-2.64933,	186.08,	4543.24
 16,	 40,	-0.04115,	-2.63531,	6310.04,	10853.28
 24,	 40,	-0.03730,	-2.38896,	4086.94,	14940.23
 32,	 40,	-0.03345,	-2.14215,	3611.00,	18551.23
 40,	 40,	-0.03102,	-1.98669,	3551.07,	22102.30
 48,	 40,	-0.02897,	-1.85563,	6172.42,	28274.71
 56,	 40,	-0.02711,	-1.73622,	11504.89,	39779.61
 64,	 40,	-0.02567,	-1.64390,	21641.52,	61421.13
 72,	 40,	-0.02398,	-1.53561,	40960.56,	102381.69
 80,	 40,	-0.02294,	-1.46910,	81235.93,	183617.62
