beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04102,	-0.65616,	482.06,	482.06
  2,	  5,	-0.03866,	-0.61843,	198.58,	680.64
  8,	 20,	-0.03862,	-0.61776,	123.75,	804.39
 12,	 20,	-0.03615,	-0.57825,	318.91,	1123.30
 16,	 20,	-0.03318,	-0.53077,	411.36,	1534.66
 20,	 20,	-0.03018,	-0.48264,	437.99,	1972.65
 24,	 20,	-0.02791,	-0.44634,	520.07,	2492.72
 28,	 20,	-0.02621,	-0.41918,	494.84,	2987.56
 32,	 20,	-0.02523,	-0.40354,	526.94,	3514.50
 36,	 20,	-0.02463,	-0.39390,	580.39,	4094.89
 40,	 20,	-0.02412,	-0.38574,	643.35,	4738.23
 44,	 20,	-0.02369,	-0.37891,	1379.15,	6117.39
 48,	 20,	-0.02317,	-0.37059,	2317.25,	8434.64
 52,	 20,	-0.02270,	-0.36298,	3855.79,	12290.43
 56,	 20,	-0.02215,	-0.35425,	5130.81,	17421.23
 60,	 20,	-0.02171,	-0.34714,	6452.23,	23873.46
 64,	 20,	-0.02131,	-0.34082,	9745.59,	33619.05
 68,	 20,	-0.02077,	-0.33209,	13796.86,	47415.91
 72,	 20,	-0.02033,	-0.32499,	21078.80,	68494.71
 76,	 20,	-0.02001,	-0.32002,	33364.16,	101858.86
 80,	 20,	-0.01951,	-0.31192,	49066.23,	150925.09
