beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04366,	-0.04366,	97.85,	97.85
  2,	  5,	-0.04366,	-0.04366,	0.00,	97.85
  5,	  5,	-0.04366,	-0.04366,	57.02,	154.87
  6,	  5,	-0.04366,	-0.04366,	57.42,	212.29
  7,	  5,	-0.04328,	-0.04328,	59.45,	271.74
  8,	  5,	-0.04272,	-0.04272,	55.74,	327.48
  9,	  5,	-0.04200,	-0.04200,	47.25,	374.73
 10,	  5,	-0.04123,	-0.04123,	40.92,	415.65
 11,	  5,	-0.04036,	-0.04036,	40.83,	456.49
 12,	  5,	-0.03947,	-0.03947,	39.60,	496.09
 13,	  5,	-0.03854,	-0.03854,	40.25,	536.33
 14,	  5,	-0.03758,	-0.03758,	41.52,	577.85
 15,	  5,	-0.03665,	-0.03665,	42.69,	620.54
 16,	  5,	-0.03578,	-0.03578,	44.69,	665.22
 17,	  5,	-0.03493,	-0.03493,	46.80,	712.02
 18,	  5,	-0.03408,	-0.03408,	50.25,	762.28
 19,	  5,	-0.03325,	-0.03325,	52.20,	814.48
 20,	  5,	-0.03251,	-0.03251,	54.66,	869.14
 21,	  5,	-0.03190,	-0.03190,	57.50,	926.63
 22,	  5,	-0.03132,	-0.03132,	59.46,	986.10
 23,	  5,	-0.03080,	-0.03080,	62.11,	1048.21
 24,	  5,	-0.03027,	-0.03027,	66.41,	1114.61
 25,	  5,	-0.02983,	-0.02983,	70.23,	1184.84
 26,	  5,	-0.02942,	-0.02942,	74.47,	1259.31
 27,	  5,	-0.02911,	-0.02911,	79.36,	1338.66
 28,	  5,	-0.02883,	-0.02883,	85.17,	1423.83
 29,	  5,	-0.02852,	-0.02852,	92.34,	1516.17
 30,	  5,	-0.02830,	-0.02830,	99.97,	1616.14
 31,	  5,	-0.02807,	-0.02807,	92.59,	1708.74
 32,	  5,	-0.02791,	-0.02791,	101.01,	1809.74
 33,	  5,	-0.02768,	-0.02768,	106.42,	1916.17
 34,	  5,	-0.02755,	-0.02755,	109.87,	2026.04
 35,	  5,	-0.02734,	-0.02734,	116.46,	2142.50
 36,	  5,	-0.02717,	-0.02717,	124.25,	2266.74
 37,	  5,	-0.02705,	-0.02705,	131.86,	2398.61
 38,	  5,	-0.02690,	-0.02690,	144.28,	2542.89
 39,	  5,	-0.02683,	-0.02683,	154.26,	2697.15
 40,	  5,	-0.02662,	-0.02662,	164.71,	2861.86
 41,	  5,	-0.02640,	-0.02640,	317.71,	3179.57
 42,	  5,	-0.02618,	-0.02618,	356.91,	3536.48
 43,	  5,	-0.02600,	-0.02600,	532.78,	4069.26
 44,	  5,	-0.02581,	-0.02581,	604.92,	4674.19
 45,	  5,	-0.02568,	-0.02568,	822.57,	5496.76
 46,	  5,	-0.02552,	-0.02552,	940.53,	6437.29
 47,	  5,	-0.02536,	-0.02536,	1205.36,	7642.65
 48,	  5,	-0.02515,	-0.02515,	1376.04,	9018.69
 49,	  5,	-0.02498,	-0.02498,	1749.41,	10768.09
 50,	  5,	-0.02485,	-0.02485,	1952.85,	12720.94
 51,	  5,	-0.02466,	-0.02466,	2401.21,	15122.15
 52,	  5,	-0.02451,	-0.02451,	2643.38,	17765.53
 53,	  5,	-0.02433,	-0.02433,	3226.39,	20991.92
 54,	  5,	-0.02420,	-0.02420,	3574.65,	24566.57
 55,	  5,	-0.02413,	-0.02413,	4201.98,	28768.55
 56,	  5,	-0.02396,	-0.02396,	4642.19,	33410.74
 57,	  5,	-0.02383,	-0.02383,	5494.06,	38904.80
 58,	  5,	-0.02366,	-0.02366,	5986.60,	44891.40
 59,	  5,	-0.02356,	-0.02356,	6988.40,	51879.80
 60,	  5,	-0.02340,	-0.02340,	7635.83,	59515.63
 61,	  5,	-0.02326,	-0.02326,	8850.98,	68366.61
 62,	  5,	-0.02313,	-0.02313,	9490.36,	77856.96
 63,	  5,	-0.02299,	-0.02299,	10846.18,	88703.15
 64,	  5,	-0.02284,	-0.02284,	11552.32,	100255.47
 65,	  5,	-0.02270,	-0.02270,	13171.15,	113426.62
 66,	  5,	-0.02261,	-0.02261,	13854.39,	127281.02
 67,	  5,	-0.02245,	-0.02245,	15678.54,	142959.56
 68,	  5,	-0.02234,	-0.02234,	16397.44,	159357.00
 69,	  5,	-0.02223,	-0.02223,	18503.96,	177860.96
 70,	  5,	-0.02208,	-0.02208,	19314.16,	197175.13
 71,	  5,	-0.02200,	-0.02200,	22008.64,	219183.76
 72,	  5,	-0.02187,	-0.02187,	24352.53,	243536.30
 73,	  5,	-0.02174,	-0.02174,	26872.50,	270408.80
