beta, betaK, slope_Q, pred_Q_low, pred_Q_high
 10,  10, -0.041226, 0.018382, 0.018227
 11,  11, -0.040394, 0.009478, 0.009409
 12,  12, -0.039474, 0.002655, 0.002624
 13,  13, -0.038566, -0.002672, -0.002687
 14,  14, -0.037638, -0.006894, -0.006901
 15,  15, -0.036726, -0.010280, -0.010283
 16,  16, -0.035816, -0.013021, -0.013022
 17,  17, -0.034954, -0.015257, -0.015258
 18,  18, -0.034112, -0.017092, -0.017093
 19,  19, -0.033312, -0.018606, -0.018606
 20,  20, -0.032564, -0.019858, -0.019858
 21,  21, -0.031910, -0.020896, -0.020897
 22,  22, -0.031306, -0.021758, -0.021758
 23,  23, -0.030756, -0.022474, -0.022474
 24,  24, -0.030270, -0.023067, -0.023067
 25,  25, -0.029808, -0.023556, -0.023556
 26,  26, -0.029456, -0.023959, -0.023959
 27,  27, -0.029098, -0.024287, -0.024287
 28,  28, -0.028784, -0.024553, -0.024553
 29,  29, -0.028510, -0.024764, -0.024764
 30,  30, -0.028280, -0.024929, -0.024929
 31,  31, -0.028068, -0.025055, -0.025055
 32,  32, -0.027862, -0.025145, -0.025145
 33,  33, -0.027698, -0.025206, -0.025206
 34,  34, -0.027510, -0.025242, -0.025242
 35,  35, -0.027378, -0.025255, -0.025255
 36,  36, -0.027218, -0.025248, -0.025248
 37,  37, -0.027076, -0.025224, -0.025224
 38,  38, -0.026914, -0.025186, -0.025186
 39,  39, -0.026786, -0.025135, -0.025135
 40,  40, -0.026650, -0.025073, -0.025073
 41,  41, -0.026402, -0.025001, -0.025001
 42,  42, -0.026188, -0.024921, -0.024921
 43,  43, -0.026004, -0.024833, -0.024833
 44,  44, -0.025836, -0.024739, -0.024739
 45,  45, -0.025658, -0.024639, -0.024639
 46,  46, -0.025492, -0.024535, -0.024535
 47,  47, -0.025352, -0.024427, -0.024427
 48,  48, -0.025188, -0.024315, -0.024315
 49,  49, -0.025010, -0.024200, -0.024200
 50,  50, -0.024878, -0.024083, -0.024083
 51,  51, -0.024728, -0.023963, -0.023963
 52,  52, -0.024538, -0.023842, -0.023842
 53,  53, -0.024394, -0.023720, -0.023720
 54,  54, -0.024238, -0.023596, -0.023596
 55,  55, -0.024104, -0.023471, -0.023471
 56,  56, -0.023962, -0.023346, -0.023346
 57,  57, -0.023810, -0.023221, -0.023221
 58,  58, -0.023660, -0.023095, -0.023095
 59,  59, -0.023516, -0.022969, -0.022969
 60,  60, -0.023376, -0.022843, -0.022843
 61,  61, -0.023244, -0.022717, -0.022717
 62,  62, -0.023110, -0.022592, -0.022592
 63,  63, -0.022964, -0.022467, -0.022467
 64,  64, -0.022824, -0.022343, -0.022343
 65,  65, -0.022710, -0.022219, -0.022219
 66,  66, -0.022588, -0.022095, -0.022095
 67,  67, -0.022454, -0.021973, -0.021973
 68,  68, -0.022344, -0.021851, -0.021851
 69,  69, -0.022218, -0.021730, -0.021730
 70,  70, -0.022110, -0.021609, -0.021609
 71,  71, -0.021984, -0.021490, -0.021490
 72,  72, -0.021860, -0.021371, -0.021371
 73,  73, -0.021744, -0.021254, -0.021254
 74,  74, -0.021616, -0.021137, -0.021137
 75,  75, -0.021498, -0.021022, -0.021022
 76,  76, -0.021390, -0.020907, -0.020907
 77,  77, -0.021286, -0.020793, -0.020793
 78,  78, -0.021174, -0.020680, -0.020680
 79,  79, -0.021052, -0.020569, -0.020569
 80,  80, -0.020952, -0.020458, -0.020458
