beta, betaK, slope_Q, pred_Q_low, pred_Q_high
 10,   5, -0.038952, 0.011788, 0.011020
 12,   6, -0.037142, -0.000851, -0.001039
 14,   7, -0.035230, -0.008519, -0.008568
 16,   8, -0.033316, -0.013474, -0.013487
 18,   9, -0.031534, -0.016796, -0.016800
 20,  10, -0.029970, -0.019072, -0.019074
 22,  11, -0.028660, -0.020648, -0.020648
 24,  12, -0.027614, -0.021738, -0.021738
 26,  13, -0.026784, -0.022485, -0.022485
 28,  14, -0.026140, -0.022983, -0.022983
 30,  15, -0.025662, -0.023298, -0.023298
 32,  16, -0.025272, -0.023478, -0.023478
 34,  17, -0.025006, -0.023555, -0.023555
 36,  18, -0.024700, -0.023555, -0.023555
 38,  19, -0.024480, -0.023496, -0.023496
 40,  20, -0.024212, -0.023393, -0.023393
 42,  21, -0.023980, -0.023256, -0.023256
 44,  22, -0.023740, -0.023092, -0.023092
 46,  23, -0.023442, -0.022909, -0.022909
 48,  24, -0.023196, -0.022712, -0.022712
 50,  25, -0.022930, -0.022503, -0.022503
 52,  26, -0.022678, -0.022287, -0.022287
 54,  27, -0.022428, -0.022066, -0.022066
 56,  28, -0.022208, -0.021841, -0.021841
 58,  29, -0.021958, -0.021615, -0.021615
 60,  30, -0.021722, -0.021388, -0.021388
 62,  31, -0.021488, -0.021162, -0.021162
 64,  32, -0.021242, -0.020937, -0.020937
 66,  33, -0.021012, -0.020713, -0.020713
 68,  34, -0.020798, -0.020492, -0.020492
 70,  35, -0.020604, -0.020273, -0.020273
 72,  36, -0.020390, -0.020058, -0.020058
 74,  37, -0.020178, -0.019845, -0.019845
 76,  38, -0.019986, -0.019636, -0.019636
 78,  39, -0.019772, -0.019431, -0.019431
 80,  40, -0.019576, -0.019228, -0.019228
