beta,	tours,	slopeQ, 	slopeK,  	time,	total-time
  1,	  1,	-0.04096,	-2.62094,	817.98,	817.98
  2,	  5,	-0.04059,	-2.59674,	49.47,	867.45
  8,	 40,	-0.04059,	-2.59674,	182.53,	1049.99
 16,	 40,	-0.03447,	-2.20484,	929.16,	1979.15
 24,	 40,	-0.02727,	-1.74393,	1092.48,	3071.63
 32,	 40,	-0.02364,	-1.51093,	998.62,	4070.25
 40,	 40,	-0.02208,	-1.41091,	1151.30,	5221.55
 48,	 40,	-0.02161,	-1.38091,	3360.34,	8581.89
 56,	 40,	-0.02104,	-1.34482,	6313.61,	14895.50
 64,	 40,	-0.02012,	-1.28614,	12721.73,	27617.23
 72,	 40,	-0.01921,	-1.22748,	25441.53,	53058.76
 80,	 40,	-0.01856,	-1.18583,	59201.49,	112260.25
